what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388439448658
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388439448939
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1388439449205
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1388439450049
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1388439450064
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1388439450142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1388439457424
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1388439463034
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388439464284
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388439464284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388439469815
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1388439480910
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1388439481035
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1388439481129
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1388439481191
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1388439481550
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1388439481597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388439481988
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1388439482004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388439483176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388439489426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388439490613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388440668772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388440682493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388440939577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388440945209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441214723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441222879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441300209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441304946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441381506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441382450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441615194
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388441617090
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388441617237
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388441637493
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388441637777
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388441637984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1388441658690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388441662414
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1388441677826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441690802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441752788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441755071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388441760349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388442821910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388442828515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388442828781
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388442830125
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388442830125
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388442830828
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388442830828
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388442834766
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1388442835219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.exit",1388442835469
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1388442835641
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1388442835641
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1388442835641
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1388442835641
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1388442835641
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1388442835656
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1388442835656
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1388442835656
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1388442835656
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1388442835656
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1388442835656
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1388442835656
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1388442835656
